id,name,category,subcategory,description,manufacturer,product_code,embodied_carbon,unit,alternative_units,a1_a3,a4,a5,c1_c4,d,source,epd_number,epd_url,valid_from,valid_until,is_epd_verified,epd_type,density,strength_mpa,thermal_conductivity,r_value,recycled_content,recyclability,certified_sustainable,carbon_sequestration,biogenic_carbon,state_origin,australian_made,regional_availability,typical_cost,currency,cost_year,tags,data_quality,data_source_org,reference_standard,geographic_validity,technology,notes,original_id,is_active,created_at,updated_at,created_by,updated_by
550e8400-e29b-41d4-a716-446655440000,32 MPa Concrete (Standard),concrete,structural,"Standard structural concrete used for slabs and columns. Most common grade in Australian construction.",Generic,,310.000,m3,"[""m3"", ""tonnes""]",0.900,0.050,0.050,0.020,-0.015,EPD Australasia,EPD-AUS-20230045,https://epd-australasia.com/epd/12345,2023-01-15,2028-01-15,TRUE,industry-average,2400.00,32.00,,,0.00,5.00,FALSE,,,NSW,TRUE,"[""NSW"", ""VIC"", ""QLD""]",180.00,AUD,2024,"[""structural"", ""standard-grade""]",4,EPD Australasia,AS/NZS ISO 14025:2013,Australia,Batch plant mixing with Portland cement,Standard grade for most structural applications,CONC-32-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440001,40 MPa Concrete (High Strength),concrete,structural,"High strength concrete for structural elements requiring greater load capacity. Higher cement content.",Generic,,370.000,m3,"[""m3"", ""tonnes""]",0.920,0.040,0.040,0.020,-0.015,EPD Australasia,EPD-AUS-20230046,https://epd-australasia.com/epd/12346,2023-01-15,2028-01-15,TRUE,industry-average,2400.00,40.00,,,0.00,5.00,FALSE,,,VIC,TRUE,"[""NSW"", ""VIC"", ""QLD"", ""SA""]",220.00,AUD,2024,"[""structural"", ""high-strength""]",4,EPD Australasia,AS/NZS ISO 14025:2013,Australia,Batch plant mixing with higher cement ratio,Higher strength grade for heavily loaded elements,CONC-40-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440002,50 MPa Concrete (Very High Strength),concrete,structural,"Very high strength concrete for high-rise buildings and prestressed applications. Maximum cement content.",Generic,,440.000,m3,"[""m3"", ""tonnes""]",0.930,0.040,0.030,0.020,-0.015,EPD Australasia,EPD-AUS-20230047,https://epd-australasia.com/epd/12347,2023-01-15,2028-01-15,TRUE,industry-average,2400.00,50.00,,,0.00,5.00,FALSE,,,NSW,TRUE,"[""NSW"", ""VIC"", ""QLD""]",280.00,AUD,2024,"[""structural"", ""very-high-strength"", ""high-rise""]",4,EPD Australasia,AS/NZS ISO 14025:2013,Australia,Specialized batch plant with quality additives,Premium strength grade for demanding applications,CONC-50-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440003,32 MPa GPC (Geopolymer Concrete),concrete,low-carbon,"Revolutionary low-carbon concrete using geopolymer technology. Reduces embodied carbon by 60% compared to standard concrete.",Wagners Earth Friendly Concrete,,120.000,m3,"[""m3"", ""tonnes""]",0.880,0.060,0.060,0.015,-0.020,EPD Australasia,EPD-AUS-20230145,https://epd-australasia.com/epd/23145,2023-06-01,2028-06-01,TRUE,product-specific,2400.00,32.00,,,0.00,5.00,FALSE,,,QLD,TRUE,"[""QLD"", ""NSW""]",195.00,AUD,2024,"[""low-carbon"", ""geopolymer"", ""sustainable"", ""innovative""]",5,Wagners,AS/NZS ISO 14025:2013,Australia,Fly ash-based geopolymer technology,Award-winning low-carbon alternative to OPC concrete,GPC-32-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440004,Concrete with 30% Recycled Aggregate,concrete,recycled,"Concrete incorporating 30% recycled concrete aggregate. Reduces embodied carbon and diverts waste from landfill.",Generic,,250.000,m3,"[""m3"", ""tonnes""]",0.850,0.080,0.070,0.015,-0.025,AusLCI,,,,,,industry-average,2350.00,32.00,,,30.00,85.00,FALSE,,,VIC,TRUE,"[""VIC"", ""NSW"", ""SA""]",165.00,AUD,2024,"[""recycled"", ""sustainable"", ""circular-economy""]",3,AusLCI,ICE Database v3.0,Australia,Standard mixing with 30% RCA replacement,Sustainable alternative using recycled aggregates,CONC-RCA-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440010,Reinforcing Steel (Rebar),steel,reinforcing,"Virgin steel reinforcing bars for concrete structures. High embodied carbon but essential structural element.",InfraBuild,,2100.000,tonnes,"[""tonnes"", ""kg""]",0.940,0.030,0.030,0.015,-0.050,EPD Australasia,EPD-AUS-20230089,https://epd-australasia.com/epd/12389,2023-03-10,2028-03-10,TRUE,product-specific,7850.00,500.00,,,0.00,98.00,FALSE,,,NSW,TRUE,"[""NSW"", ""VIC"", ""QLD"", ""SA"", ""WA""]",1450.00,AUD,2024,"[""structural"", ""reinforcing""]",5,InfraBuild,AS/NZS ISO 14025:2013,Australia,Blast furnace / Basic oxygen furnace,Standard structural reinforcement for concrete,STEEL-REBAR-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440011,Structural Steel Sections (Beams & Columns),steel,structural,"Hot-rolled structural steel sections including universal beams and columns. Primary framing material.",BlueScope Steel,,2300.000,tonnes,"[""tonnes"", ""kg""]",0.930,0.040,0.030,0.015,-0.050,EPD Australasia,EPD-AUS-20230090,https://epd-australasia.com/epd/12390,2023-03-10,2028-03-10,TRUE,product-specific,7850.00,350.00,,,0.00,98.00,FALSE,,,NSW,TRUE,"[""NSW"", ""VIC"", ""QLD"", ""SA"", ""WA"", ""TAS""]",1680.00,AUD,2024,"[""structural"", ""steel-frame""]",5,BlueScope Steel,AS/NZS ISO 14025:2013,Australia,Hot rolling from steel billets,Standard structural sections for building frames,STEEL-STRUCT-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440012,Recycled Steel (EAF Steel),steel,recycled,"Electric Arc Furnace steel from 100% scrap. Reduces embodied carbon by 75% compared to virgin steel.",Arrium OneSteel,,550.000,tonnes,"[""tonnes"", ""kg""]",0.900,0.050,0.050,0.010,-0.080,EPD Australasia,EPD-AUS-20230091,https://epd-australasia.com/epd/12391,2023-03-10,2028-03-10,TRUE,product-specific,7850.00,350.00,,,100.00,98.00,FALSE,,,SA,TRUE,"[""SA"", ""NSW"", ""VIC""]",1250.00,AUD,2024,"[""recycled"", ""low-carbon"", ""sustainable"", ""circular-economy""]",5,Arrium OneSteel,AS/NZS ISO 14025:2013,Australia,Electric Arc Furnace with 100% scrap,Sustainable steel made entirely from recycled scrap,STEEL-EAF-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440013,Steel Mesh (Reinforcing Mesh),steel,reinforcing,"Welded wire mesh for slab reinforcement. Prefabricated for faster installation.",InfraBuild,,2150.000,tonnes,"[""tonnes"", ""kg"", ""m2""]",0.920,0.040,0.040,0.015,-0.050,EPD Australasia,EPD-AUS-20230092,https://epd-australasia.com/epd/12392,2023-03-10,2028-03-10,TRUE,industry-average,7850.00,500.00,,,0.00,98.00,FALSE,,,VIC,TRUE,"[""NSW"", ""VIC"", ""QLD"", ""SA"", ""WA""]",1520.00,AUD,2024,"[""reinforcing"", ""prefab""]",4,InfraBuild,AS/NZS ISO 14025:2013,Australia,Wire drawing and electric resistance welding,Standard mesh for concrete slab reinforcement,STEEL-MESH-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
550e8400-e29b-41d4-a716-446655440020,Australian Hardwood (Spotted Gum),timber,hardwood,"Dense structural hardwood with negative embodied carbon. Acts as long-term carbon store.",Sustainable Timber Tasmania,,200.000,m3,"[""m3"", ""tonnes"", ""bd ft""]",0.700,0.200,0.100,,,-650.000,AusLCI,,,,,industry-average,900.00,,,,,TRUE,-650.000,-720.000,TAS,TRUE,"[""TAS"", ""VIC"", ""NSW""]",1850.00,AUD,2024,"[""carbon-negative"", ""sustainable"", ""fsc-certified"", ""renewable""]",3,AusLCI,AS/NZS 1080.1,Australia,Sustainably harvested native forest,Carbon-negative structural timber - stores CO2,TIMBER-HW-001,TRUE,2024-01-01 00:00:00+00,2024-01-01 00:00:00+00,system,system
